 t        y1(t)        y2(t)
0.0     0.000000     2.000000
0.1     0.715719     1.955318
0.2     1.233158     1.958280
0.3     1.714322     2.067201
0.4     2.167980     2.279421
0.5     2.584106     2.581860
0.6     2.954249     2.959783
0.7     3.273589     3.398622
0.8     3.540046     3.884333
0.9     3.753263     4.403443
1.0     3.913866     4.943020
1.1     4.022979     5.490606
1.2     4.081890     6.034129
1.3     4.091803     6.561794
1.4     4.053642     7.061937
1.5     3.967848     7.522825
1.6     3.834134     7.932390
1.7     3.651144     8.277834
1.8     3.415900     8.545020
1.9     3.122871     8.717503
2.0     2.762276     8.774849
2.1     2.317112     8.689753
2.2     1.760225     8.424327
2.3     1.084461     7.944549
2.4     0.549717     7.373549
2.5     0.417855     6.923107
2.6     0.422100     6.529244
2.7     0.450592     6.152316
2.8     0.487134     5.787620
2.9     0.530360     5.436220
3.0     0.581321     5.100419
3.1     0.641828     4.783269
3.2     0.714253     4.488625
3.3     0.801509     4.221271
3.4     0.906906     3.986977
3.5     1.033724     3.792329
3.6     1.184367     3.644214
3.7     1.359216     3.548878
3.8     1.555670     3.510818
3.9     1.768014     3.531932
4.0     1.988306     3.611267
4.1     2.207781     3.745348
4.2     2.418127     3.928767
4.3     2.612243     4.154781
4.4     2.784498     4.415790
4.5     2.930672     4.703669
4.6     3.047741     5.009990
4.7     3.133617     5.326157
4.8     3.186894     5.643483
4.9     3.206624     5.953220
5.0     3.192116     6.246545
5.1     3.142751     6.514516
5.2     3.057809     6.747972
5.3     2.936280     6.937395
5.4     2.776645     7.072707
5.5     2.576644     7.142989
5.6     2.333069     7.136167
5.7     2.041974     7.038894
5.8     1.700961     6.837704
5.9     1.320093     6.525895
6.0     0.954931     6.126741
6.1     0.715373     5.712509
6.2     0.631771     5.336576
6.3     0.637133     4.996675
6.4     0.683036     4.684001
6.5     0.752509     4.397668
6.6     0.841947     4.141165
6.7     0.952329     3.920044
6.8     1.085809     3.740882
6.9     1.243824     3.610382
7.0     1.425631     3.534272
7.1     1.627462     3.516215
7.2     1.842693     3.557135
7.3     2.062957     3.655185
7.4     2.279548     3.806186
