 t        y1(t)        y2(t)
0.0     0.000000     2.000000
0.1     0.718430     1.913686
0.2     1.243694     1.930812
0.3     1.721253     2.150240
0.4     2.147680     2.545278
0.5     2.509609     3.073517
0.6     2.799384     3.692908
0.7     3.014240     4.363768
0.8     3.154319     5.048725
0.9     3.221318     5.712462
1.0     3.217680     6.321470
1.1     3.146135     6.843829
1.2     3.009455     7.249045
1.3     2.810414     7.508007
1.4     2.552099     7.593359
1.5     2.239089     7.481068
1.6     1.881098     7.155552
1.7     1.502946     6.624313
1.8     1.162425     5.947679
1.9     0.941859     5.247390
2.0     0.872216     4.625661
2.1     0.917346     4.114234
2.2     1.039028     3.722053
2.3     1.215858     3.460194
2.4     1.432029     3.336502
2.5     1.670023     3.348900
2.6     1.910936     3.484711
2.7     2.137576     3.723818
2.8     2.336517     4.042163
2.9     2.498452     4.414122
3.0     2.617600     4.813850
3.1     2.690893     5.216028
3.2     2.717268     5.596332
3.3     2.697163     5.931796
3.4     2.632233     6.201195
3.5     2.525290     6.385576
3.6     2.380517     6.469083
3.7     2.204049     6.440356
3.8     2.005069     6.294844
3.9     1.797387     6.038294
4.0     1.600774     5.690763
4.1     1.439604     5.288096
4.2     1.336157     4.876099
4.3     1.301699     4.498272
4.4     1.334030     4.186855
4.5     1.422447     3.962113
4.6     1.552860     3.834589
4.7     1.710062     3.806333
4.8     1.878873     3.871777
4.9     2.045332     4.019233
5.0     2.197706     4.232782
5.1     2.326965     4.494001
5.2     2.426738     4.783279
5.3     2.492995     5.080757
5.4     2.523655     5.367008
5.5     2.518254     5.623590
5.6     2.477723     5.833581
5.7     2.404317     5.982173
5.8     2.301705     6.057443
5.9     2.175253     6.051402
6.0     2.032478     5.961406
6.1     1.883540     5.791853
6.2     1.741369     5.555683
6.3     1.620668     5.274590
6.4     1.535247     4.976650
6.5     1.494452     4.691414
6.6     1.500922     4.444777
6.7     1.550964     4.255993
6.8     1.636532     4.136945
6.9     1.747205     4.092464
7.0     1.871706     4.121040
7.1     1.999066     4.215870
7.2     2.119517     4.366136
7.3     2.225032     4.558288
7.4     2.309515     4.777175
7.5     2.368758     5.006953
7.6     2.400263     5.231822
7.7     2.403058     5.436638
7.8     2.377537     5.607484
7.9     2.325395     5.732262
8.0     2.249648     5.801367
8.1     2.154751     5.808491
8.2     2.046768     5.751554
8.3     1.933499     5.633671
8.4     1.824330     5.463850
8.5     1.729519     5.256927
8.6     1.658743     5.032215
8.7     1.619230     4.810889
8.8     1.614295     4.612896
8.9     1.642978     4.454496
9.0     1.700727     4.346948
9.1     1.780559     4.296148
9.2     1.874223     4.302875
9.3     1.973210     4.363424
9.4     2.069543     4.470469
9.5     2.156320     4.614020
9.6     2.228011     4.782338
9.7     2.280554     4.962754
9.8     2.311330     5.142368
9.9     2.319070     5.308657
10.0     2.303768     5.450047
10.1     2.266623     5.556462
10.2     2.210024     5.619911
10.3     2.137581     5.635119
10.4     2.054163     5.600184
10.5     1.965867     5.517178
10.6     1.879816     5.392511
10.7     1.803624     5.236801
10.8     1.744495     5.064005
10.9     1.708097     4.889811
11.0     1.697594     4.729651
11.1     1.713207     4.596871
11.2     1.752400     4.501469
11.3     1.810510     4.449491
11.4     1.881540     4.442953
11.5     1.958942     4.480153
11.6     2.036282     4.556236
11.7     2.107744     4.663880
11.8     2.168457     4.794026
11.9     2.214670     4.936572
12.0     2.243803     5.081000
12.1     2.254439     5.216956
12.2     2.246282     5.334773
12.3     2.220114     5.425990
12.4     2.177772     5.483848
12.5     2.122133     5.503805
12.6     2.057083     5.484020
12.7     1.987435     5.425756
12.8     1.918719     5.333590
12.9     1.856779     5.215277
13.0     1.807164     5.081153
13.1     1.774390     4.943074
13.2     1.761284     4.813067
13.3     1.768588     4.701984
13.4     1.794963     4.618439
13.5     1.837311     4.568167
13.6     1.891292     4.553781
13.7     1.951900     4.574867
13.8     2.013998     4.628326
13.9     2.072755     4.708858
14.0     2.123971     4.809519
14.1     2.164274     4.922295
14.2     2.191228     5.038651
14.3     2.203367     5.150043
14.4     2.200195     5.248406
14.5     2.182164     5.326606
14.6     2.150641     5.378886
14.7     2.107884     5.401277
14.8     2.056979     5.391979
14.9     2.001737     5.351648
15.0     1.946508     5.283523
15.1     1.895866     5.193316
15.2     1.854175     5.088782
15.3     1.825081     4.978989
15.4     1.811045     4.873359
15.5     1.813023     4.780684
15.6     1.830399     4.708262
15.7     1.861135     4.661307
15.8     1.902107     4.642636
15.9     1.949510     4.652642
16.0     1.999278     4.689468
16.1     2.047445     4.749340
16.2     2.090443     4.826985
16.3     2.125305     4.916089
16.4     2.149796     5.009761
16.5     2.162472     5.100985
16.6     2.162714     5.183043
16.7     2.150715     5.249926
16.8     2.127462     5.296714
16.9     2.094697     5.319920
17.0     2.054853     5.317800
17.1     2.010953     5.290560
17.2     1.966440     5.240458
17.3     1.924938     5.171703
17.4     1.889923     5.090154
17.5     1.864367     5.002788
17.6     1.850387     4.917019
17.7     1.848999     4.839951
17.8     1.860022     4.777704
17.9     1.882146     4.734892
18.0     1.913132     4.714308
18.1     1.950109     4.716818
18.2     1.989876     4.741434
18.3     2.029214     4.785529
18.4     2.065129     4.845140
18.5     2.095053     4.915331
18.6     2.116976     4.990574
18.7     2.129530     5.065132
18.8     2.132026     5.133436
18.9     2.124469     5.190431
19.0     2.107539     5.231912
19.1     2.082559     5.254820
19.2     2.051435     5.257482
19.3     2.016558     5.239791
19.4     1.980663     5.203274
19.5     1.946640     5.151024
19.6     1.917284     5.087473
19.7     1.895028     5.018012
19.8     1.881685     4.948482
19.9     1.878250     4.884617
20.0     1.884801     4.831509
20.1     1.900525     4.793171
20.2     1.923833     4.772236
20.3     1.952567     4.769823
20.4     1.984231     4.785539
20.5     2.016226     4.817608
20.6     2.046071     4.863091
20.7     2.071571     4.918159
20.8     2.090951     4.978406
20.9     2.102944     5.039170
21.0     2.106841     5.095848
21.1     2.102513     5.144207
21.2     2.090401     5.180661
21.3     2.071492     5.202528
21.4     2.047264     5.208235
21.5     2.019602     5.197458
21.6     1.990684     5.171188
21.7     1.962819     5.131677
21.8     1.938268     5.082277
21.9     1.919031     5.027155
22.0     1.906653     4.970918
22.1     1.902065     4.918187
22.2     1.905499     4.873173
22.3     1.916476     4.839320
22.4     1.933884     4.819037
22.5     1.956111     4.813546
22.6     1.981220     4.822848
22.7     2.007134     4.845795
22.8     2.031809     4.880236
22.9     2.053392     4.923230
23.0     2.070339     4.971287
23.1     2.081500     5.020639
23.2     2.086178     5.067504
23.3     2.084154     5.108345
23.4     2.075689     5.140118
23.5     2.061502     5.160483
23.6     2.042730     5.167978
23.7     2.020852     5.162145
23.8     1.997598     5.143580
23.9     1.974820     5.113905
24.0     1.954349     5.075645
24.1     1.937832     5.032019
24.2     1.926581     4.986659
24.3     1.921448     4.943280
24.4     1.922743     4.905352
24.5     1.930216     4.875802
24.6     1.943102     4.856781
24.7     1.960205     4.849522
24.8     1.980030     4.854277
24.9     2.000927     4.870350
25.0     2.021228     4.896198
25.1     2.039382     4.929578
25.2     2.054061     4.967750
25.3     2.064240     5.007684
25.4     2.069256     5.046285
25.5     2.068836     5.080615
25.6     2.063105     5.108098
25.7     2.052578     5.126702
25.8     2.038115     5.135090
25.9     2.020872     5.132726
26.0     2.002221     5.119923
26.1     1.983647     5.097827
26.2     1.966633     5.068331
26.3     1.952538     5.033917
26.4     1.942473     4.997443
26.5     1.937200     4.961891
26.6     1.937065     4.930107
26.7     1.941972     4.904559
26.8     1.951404     4.887139
26.9     1.964484     4.879028
27.0     1.980065     4.880630
27.1     1.996842     4.891570
27.2     2.013466     4.910763
27.3     2.028647     4.936521
27.4     2.041256     4.966701
27.5     2.050391     4.998885
27.6     2.055436     5.030554
27.7     2.056093     5.059275
27.8     2.052390     5.082880
27.9     2.044682     5.099614
28.0     2.033613     5.108269
28.1     2.020080     5.108275
28.2     2.005168     5.099745
28.3     1.990064     5.083469
28.4     1.975973     5.060856
28.5     1.964012     5.033812
28.6     1.955121     5.004582
28.7     1.949972     4.975553
28.8     1.948919     4.949052
28.9     1.951965     4.927145
29.0     1.958774     4.911476
29.1     1.968708     4.903142
29.2     1.980893     4.902624
29.3     1.994304     4.909772
29.4     2.007853     4.923843
29.5     2.020480     4.943581
29.6     2.031229     4.967327
