 t        y1(t)        y2(t)
0.0     0.000000     2.000000
0.1     0.717830     1.922797
0.2     1.241460     1.935898
0.3     1.720045     2.130623
0.4     2.152592     2.487253
0.5     2.526202     2.970976
0.6     2.832864     3.546564
0.7     3.069230     4.180463
0.8     3.234823     4.840875
0.9     3.330728     5.497556
1.0     3.358766     6.121580
1.1     3.320979     6.685093
1.2     3.219288     7.161021
1.3     3.055252     7.522749
1.4     2.829926     7.743799
1.5     2.543947     7.797687
1.6     2.198457     7.658704
1.7     1.799206     7.306479
1.8     1.371607     6.744037
1.9     0.994914     6.043961
2.0     0.781506     5.354503
2.1     0.737296     4.759887
2.2     0.793962     4.259582
2.3     0.911022     3.852129
2.4     1.074581     3.548392
2.5     1.277450     3.361045
2.6     1.509434     3.296429
2.7     1.755761     3.351238
2.8     1.999946     3.513582
2.9     2.227131     3.765954
3.0     2.425785     4.087910
3.1     2.587880     4.457779
3.2     2.708343     4.853627
3.3     2.784347     5.253778
3.4     2.814702     5.637134
3.5     2.799391     5.983384
3.6     2.739284     6.273197
3.7     2.636011     6.488472
3.8     2.492038     6.612749
3.9     2.311055     6.631994
4.0     2.098884     6.536126
4.1     1.865277     6.321910
4.2     1.626782     5.997844
4.3     1.409215     5.589995
4.4     1.244226     5.142670
4.5     1.155593     4.706125
4.6     1.147428     4.319544
4.7     1.209035     4.007112
4.8     1.325833     3.783661
4.9     1.483531     3.657847
5.0     1.667686     3.631848
5.1     1.863519     3.701039
5.2     2.056977     3.854991
5.3     2.235990     4.079197
5.4     2.391123     4.356700
5.5     2.515592     4.669298
5.6     2.604922     4.998353
5.7     2.656499     5.325317
5.8     2.669174     5.632116
5.9     2.642953     5.901458
6.0     2.578832     6.117148
6.1     2.478766     6.264497
6.2     2.345847     6.330929
6.3     2.184751     6.306971
6.4     2.002578     6.187870
6.5     1.810107     5.976045
6.6     1.623050     5.684126
6.7     1.461721     5.336884
6.8     1.346794     4.968740
6.9     1.291905     4.615770
7.0     1.299387     4.307608
7.1     1.362756     4.064985
7.2     1.471386     3.901024
7.3     1.613054     3.822315
7.4     1.774804     3.829190
7.5     1.943716     3.916237
7.6     2.107910     4.073423
7.7     2.257356     4.287474
7.8     2.384239     4.543107
7.9     2.482915     4.823987
8.0     2.549656     5.113403
8.1     2.582330     5.394772
8.2     2.580118     5.652023
8.3     2.543311     5.869962
8.4     2.473226     6.034654
8.5     2.372252     6.133938
8.6     2.244091     6.158149
8.7     2.094219     6.101208
8.8     1.930608     5.962199
8.9     1.764520     5.747361
9.0     1.610744     5.471851
9.1     1.486066     5.159700
9.2     1.405270     4.840357
9.3     1.376593     4.542715
9.4     1.400184     4.290343
9.5     1.470086     4.100012
9.6     1.576972     3.982031
9.7     1.709861     3.940692
9.8     1.857129     3.974675
9.9     2.007439     4.077778
10.0     2.150596     4.240011
10.1     2.278124     4.448744
10.2     2.383474     4.689719
10.3     2.461957     4.947839
10.4     2.510537     5.207762
10.5     2.527587     5.454371
10.6     2.512683     5.673163
10.7     2.466478     5.850643
10.8     2.390680     5.974772
10.9     2.288155     6.035545
11.0     2.163205     6.025804
11.1     2.022007     5.942359
11.2     1.873170     5.787429
11.3     1.728079     5.570129
11.4     1.600407     5.307201
11.5     1.504017     5.021776
11.6     1.449568     4.739717
11.7     1.441755     4.485078
11.8     1.479036     4.277054
11.9     1.555310     4.129032
12.0     1.661795     4.048661
12.1     1.788338     4.038140
12.2     1.924411     4.094707
12.3     2.059977     4.211450
12.4     2.186197     4.378301
12.5     2.295835     4.583039
12.6     2.383374     4.812134
12.7     2.444936     5.051429
12.8     2.478105     5.286672
12.9     2.481742     5.503957
13.0     2.455833     5.690125
13.1     2.401424     5.833184
13.2     2.320644     5.922801
13.3     2.216856     5.950950
13.4     2.094942     5.912761
13.5     1.961688     5.807627
13.6     1.826125     5.640428
13.7     1.699466     5.422484
13.8     1.594073     5.171423
13.9     1.521205     4.909242
14.0     1.488335     4.658829
14.1     1.497609     4.440510
14.2     1.546203     4.270020
14.3     1.627754     4.157865
14.4     1.733785     4.109340
14.5     1.854805     4.124820
14.6     1.981220     4.200324
14.7     2.104101     4.328322
14.8     2.215738     4.498657
14.9     2.309923     4.699410
15.0     2.382010     4.917635
15.1     2.428823     5.139958
15.2     2.448506     5.353064
15.3     2.440383     5.544123
15.4     2.404851     5.701197
15.5     2.343362     5.813693
15.6     2.258486     5.872891
15.7     2.154086     5.872640
